Total packets,Total size,Mean size,Mean inter-arrival,Scenario
286,19175,67.04545455,0.017418923,0
281,18863,67.12811388,0.017721054,0
7078,9259294,1308.179429,0.000705948,1
6324,8439976,1334.59456,0.000789236,1
6147,8518618,1385.817147,0.000812631,1
7375,10296500,1396.135593,0.000675511,1
6060,8374492,1381.929373,0.00082457,1
6022,8341765,1385.215045,0.000828625,1
5367,7155786,1333.29346,0.000929441,1
6309,8365689,1325.992867,0.000791856,1
9058,12517352,1381.911239,0.000550167,1
7825,10953308,1399.78377,0.000637035,1
8416,11801112,1402.223384,0.000592298,1
8377,11727324,1399.943178,0.000595329,1
7388,10259229,1388.634136,0.000676205,1
9013,12102522,1342.785088,0.000554134,1
9206,12076231,1311.778297,0.00054169,1
5000,6773744,1354.7488,0.000997987,1
5669,7813521,1378.289116,0.000880385,1
5249,7216990,1374.926653,0.000948825,1
5722,7897610,1380.218455,0.000866324,1
5927,8076350,1362.637085,0.000843046,1
4287,5714840,1333.062748,0.001165675,0
3519,292154,83.02188122,0.001420038,0
4051,324140,80.01481116,0.001233196,0
3449,287902,83.47405045,0.001448412,0
4250,335857,79.02517647,0.001175052,0
4096,326902,79.81005859,0.001219095,0
4105,327309,79.73422655,0.00121751,0
4091,326912,79.91004644,0.001221899,0
4094,326306,79.70346849,0.001219802,0
4091,326409,79.78709362,0.001221272,0
3452,288185,83.48348783,0.001447535,0
4083,325882,79.81435219,0.00122355,0
4082,325568,79.75698187,0.001224048,0
3374,278686,82.59810314,0.001392799,0
3793,301017,79.36119167,0.001255372,0
4108,327185,79.64581305,0.001215183,0
4314,339965,78.80505331,0.001157989,0
3738,316748,84.73729267,0.001326111,0
4416,367572,83.23641304,0.001122119,0
4474,349883,78.20362092,0.001114962,0
4363,342934,78.60050424,0.00114308,0
4496,359952,80.06049822,0.001108618,0
4254,341762,80.33897508,0.001173042,0
3660,300758,82.17431694,0.001361889,0
4075,325313,79.83141104,0.001224368,0
3558,297082,83.49690838,0.001403781,0
4161,333219,80.0814708,0.001197806,0
3471,289193,83.31691155,0.001440335,0
3972,328333,82.66188318,0.00125779,0
3593,296725,82.58419148,0.001390324,0
4023,322501,80.16430524,0.001238432,0
3488,290750,83.35722477,0.001430252,0
3723,304915,81.90034918,0.001338704,0
3401,277781,81.67627168,0.001336752,0
3723,304915,81.90034918,0.001338704,0
3401,277781,81.67627168,0.001336752,0
